id,Q01,Q02,Q03,Q04,Q05,Q06->Problem Understanding,Q06->Conceptual Understanding,Q06->Code Generation,Q06->Debugging,Q06->Runtime Analysis,Q06->Syntax,Q06->Documentation,Q06->Test Cases,Q6Add,Q7->1: Very Difficult ... 5: Very Easy,Q8->1: Not helped at all ... 5: Helped very well,Q9->1: Inadequate ... 5: Highly Adequate,Q10->1: Very Dissatisfied ... 5: Very Satisfied,Q11->1: Unlikely ... 5: Very Likely,Q12,Q13,Q14
46,3 : Moderate (1-2 Years),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,0,1,0,0,0,0,1,,3,4,3,4,3,chatgpt kann vorhandene codes ziemlich gut verständlich erklären,ziemlich fehlerhaft,nein
47,1 : None,1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,1,1,0,0,0,1,0,,5,5,3,4,4,Man kann immer wenn man nicht mehr weiter weiß zum Beispiel bei einer Fehlermeldung auf den Chatbot zurückgreifen und Hilfe erhalten.,Oft macht auch der Chatbot Fehler beim Coden und gerade bei mathematischen Rechnungen kann man sich nicht auf das Ergebnis verlassen.,
48,3 : Moderate (1-2 Years),2 : No,1 : Never,3 : 30-60 minutes,1 : Web Interface,1,1,1,0,1,0,0,0,,5,3,5,4,2,"- It is very simple to get concise answers.    - Unlike using a browser an text answer is given, in simple english.    - The dialog feels way more human than a browser search.    - A question can be expanded by providing more information.","- Copy paste is too simpel, so holding back is quite a challange    - Code enhancements like memoization can be used in (recursive functions) without benefit,    so there was no feedback on the usefullness of such modification",I don't think it impacts my learning experience positivly. Of course it helps to get answers fast  and in my case mostly (if not all) right. But a lot of answers that stick to my head today  are the ones I have researched very long. I remember my answer but also the reasoning in various forums and the experiments I did to proof/disproof theories. This is missing. The material I had to learn to this point could be learnt better (in sense of quality) or have to be learnd by repitition (formulas in mathematics). ChatGPT gives nice short answer but I think I'm not convinced yet.    However I enjoyed the test of ChatGPT as I had no experience with it before.  I would say it's a cool gimmick to play around.
49,2 : Limited (<1 Year),1 : Yes,4 : Montly,2 : 15-30 minutes,1 : Web Interface,1,0,0,0,0,0,0,0,"Um zu überprüfen ob meine Lösung richtig ist, wenn nicht was ich falsch gemacht habe und wie ich es verbessern kann.",4,2,2,1,3,- man bekommt schnelle Antworten auf Fragen    ,"- macht oft Fehler  - hängt manchmal  - wenn ich in Mathe meine Lösungen mit ChatGPT vergleichen, macht ChatGPT immer Fehler obwohl meine Lösung richtig ist. Ich muss dann oft meine Lösung genauer beschreiben und erläutern bis am Ende mir gesagt wird das meine Lösung doch noch korrekt ist.  ",
50,4 : Advanced (3+ Years),2 : No,1 : Never,3 : 30-60 minutes,1 : Web Interface,0,0,1,1,0,1,1,1,,5,2,4,4,2,ChatGPT kann Code berichtigen  Es kann eigenständig Konzepte aus dem Code herauserkennen  Es kann sinnvolle Test Cases finden,Braucht viel Hilfe zum finden einer geeigneten funktionierenden Lösung  Gibt falsche Funktionen oder Lösungen aus  Kann nicht eigenständig Probleme Lösen oder Problemstellung in ihrer Gänze durchdringen.,
51,2 : Limited (<1 Year),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,0,1,1,0,1,0,0,1,,4,4,4,4,4,"Wenn ein Code nicht funktionert kann man einfach Chat GPT fragen was schiefgegangen ist und er erklärt was geändert werden muss und warum das vorher nicht funktionert hat. Dabei kann er natürlich Fehler machen. Deswegen muss man auch ein bisschen aufpassen. Trotzdem finde ich, dass es manchmal einfacher ist, als auf Stackoverflow oder irgendwo anders nach einer Lösung zu suchen.", ,
52,2 : Limited (<1 Year),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,1,1,1,0,1,0,0,,5,4,3,4,4,-Lässt sich zu einem Tutor umfunktionieren  -Erkennt schnell Fehler an denen man lange saß  -Selbst wenn chatgpt oft ungenau ist lässt es sich gut in die richtige Richtung lenken,-Oft geht es in die falsche Richtung  -Wenn man ihm sagt dass etwas falsch ist und versucht es zu korrigieren wiederholt es den Fehler nur  -Manchmal zu kompliziert,
53,2 : Limited (<1 Year),1 : Yes,5 : Rarely,1 : Less than 15 minutes,1 : Web Interface,0,0,1,0,0,0,1,0,,5,3,2,2,2,"1.Es kann gut Informationen recherchieren.  2.Wenn man etwas nicht verstanden hat, kann es gut erklären.  3.Es kann gute Tipps geben , wie man am besten mit der Coding ,   am Anfangs des Moduls starten sollte.",1. Die Genaugkeit der Informationen sind nicht immer korrekt.  2. Bestimmte Themen erklärt er falsch oder nicht ausreichend.  3.Macht relativ häufig fehler im Programmieren. ,
54,2 : Limited (<1 Year),1 : Yes,3 : Weekly,1 : Less than 15 minutes,1 : Web Interface,1,1,0,0,0,0,0,0,Tests um zu gucken ob ChatGPT's Antworten sich von meinen Antworten unterscheiden,5,4,3,4,5,"1. Für die Verständnis vom allgemeinem Syntax oder üblichen Problemen ist ChatGPT ideal.  2. ChatGPT bietet direkt ohne Wartezeit eine Antwort oder einen Ansatz zu einer Frage.  3. Kann in manchen Fällen auf alternative Lösungsmöglichkeiten aufmerksam machen, welche die eigene Angehensweise vereinfacht.","1. Bietet häufig falschen oder fehlerhaften Code mit 'Selbstbewusstsein' an, heißt ohne auf die Möglichkeit von Fehlern hinzuweisen.  2. Bei größeren Code-Inputs kann ChatGPT oftmals durcheinander kommen, weswegen kleinere Code-Schnipsel oder sehr verallgemeinerte ähnliche Probleme als Input genommen werden müssen.  3. Kann sehr umständlichen Code als Lösung anbieten, der zwar in der Praxis funktioniert, jedoch unnötige und oft exzessive Umwege nimmt.","Allgemein ist ChatGPT am besten, wenn man schnell eine Antwort auf eine Frage braucht bei der man gerade nicht weiter kommt. Man sollte sich aber nicht vollständig darauf verlassen, sondern es stattdessen nur als 'Denkantrieb' benutzen um einen auf die Sprünge zu helfen."
55,4 : Advanced (3+ Years),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,0,1,1,0,0,1,1,,5,3,3,4,4,"- Answer to my prompts can be generated multiple times to eliminate garbage responses  - Github Copilot (built on OpenAI's GPT language models) easily generates doctests and -strings in the same style I do, after I add them to the first function --&gt; very good at repeating the same annoying tasks.  - Very handy at getting another opinion on what an exercise expects me to do (some were quite misleading and hard to understand even with german as mother tongue)","- I tend to get very lazy when using it as it's much simpler to ask chatgpt than to try and solve the question myself  - It is not perfect by any means. Questions can be just outright wrong, with the language model insisting it was correct  - I wasn't so keen being forced to use my personal account for it. Especially since one of the exercise sheets requires you to use ChatGPT, the uni should have provided us with access to chatGPT through the HRZ Accounts",
56,1 : None,2 : No,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,0,0,0,0,0,0,0,,4,3,3,3,3,- Die Möglichkeit komplexe Probleme herunterbrechen zu lassen und sich erklären zu lassen    - nutzerfreundlich    - Rückfragen  ,"- teils Fehler, die man schnell bemerkt    - Kann leider keine Grafiken zeichnen    - bugt manchmal",nein. 
57,2 : Limited (<1 Year),1 : Yes,2 : Daily,2 : 15-30 minutes,1 : Web Interface,1,0,1,0,0,0,0,1,,5,3,4,4,5,"1. Hilft mir, die Probleme von den Aufgaben zu verstehen  2. Gibt mir Ideen wie man mit dem Code anfängt  3. Korrigiert für mich wenn im Code was falsches gibt","1. Manchmal muss ich vielmals die Fragen wiederholen, damit er mich versteht  2. Hat eine begrenzte Anzahl von Fragen  3. Manchmal generiert er eine den falschen Code","Im Zusammenfassung ChatGpt ist sehr nützlich, er ist wie ein Tutor, der jeder Zeit zur Verfügung steht und hilft besser als Google und erklärt die Sachen besser"
58,2 : Limited (<1 Year),1 : Yes,1 : Never,1 : Less than 15 minutes,1 : Web Interface,0,0,1,0,0,0,1,1,,5,4,3,3,4,"Das man sehr Spezifische Fragen stellen kann.   Das man sich mit komplexen Sachen schneller befassen kann, anstatt 500 mal zu Google.  Das man sich Arbeit abnehmen lassen kann.",Manchmal versteht es nicht genau was man meint.  Manchmal stellt man im Prompt bestimmte Anforderungen diese Werden aber nicht immer zu 100% beachtet.  Mehr negative Erfahrungen habe ich nicht.,
59,2 : Limited (<1 Year),2 : No,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,0,0,0,1,0,0,0,0,,5,5,4,5,5,,,
60,2 : Limited (<1 Year),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,0,0,0,0,0,1,1,,4,3,3,5,5,"- Zur Klausurvorbereitung , um schnell Informationen oder Quellen zu finden   - Oftmals habe ich meinen Code nicht beschriftet/kommentiert, ChatGPT erledigt die 20-30min extra Arbeit für mich  - Sehr hilfreich um formelle Briefe und E-Mails zu schreiben bzw. deinen Text zu verbessern",- Sehr schlecht in Mathe und für Problemlösungen bezüglich höhere Mathematik  ,
61,1 : None,2 : No,2 : Daily,2 : 15-30 minutes,1 : Web Interface,1,1,1,1,0,1,1,0,,4,4,4,4,5,neue Befehle lernen.  neue Ansätze erkennen.  produziert kurzen code,manchmal falsch  manchmal nicht nachvollziehbar  bei längeren Interaktionen verliert er manchmal die ausgangslogik.,
62,2 : Limited (<1 Year),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,0,0,1,1,0,0,1,1,,5,5,3,4,5,"1. Wenn man sich in einer Aufgabe ""verrannt"" hat gibt ChatGPT oft hilfreiche hinweise oder alternative Herangehensweisen.  2. Hilft sehr bei dem Zusammenfassen von Texten.  3. Hilft sehr bei der Findung geeigneter Formulierungen","1. Man kann ChatGPT ""verwirren"", indem man behauptet es hätte eine falsche Antwort gegeben obwohl diese offensichtlich richtig war.  2. Bei komplexeren Problemstellungen ist ChatGPT nicht hilfreich.  3. Bei gleichen Fragestellungen kommen hin und wieder verschiedene Antworten die alle unterschiedliche Ergebnisse und Herangehensweisen haben. ","1. Bei Mathematischen Fragen stößt ChatGPT an seine Grenzen, sowie bei größeren komplexeren Programmierprojekten."
63,2 : Limited (<1 Year),1 : Yes,3 : Weekly,2 : 15-30 minutes,3 : Messaging App Integration (e.g. Chat Bots like MyAI),1,1,0,0,0,0,1,1,,4,4,3,4,4,,,
64,2 : Limited (<1 Year),1 : Yes,3 : Weekly,1 : Less than 15 minutes,1 : Web Interface,1,0,0,1,0,0,0,0,,3,4,2,4,3,,,
65,1 : None,1 : Yes,5 : Rarely,1 : Less than 15 minutes,1 : Web Interface,1,1,1,0,0,0,0,0,,3,2,2,2,3,,,
66,1 : None,2 : No,4 : Montly,1 : Less than 15 minutes,1 : Web Interface,1,0,0,0,0,0,0,0,,5,3,3,3,3,,,
67,1 : None,1 : Yes,5 : Rarely,2 : 15-30 minutes,1 : Web Interface,1,0,0,1,0,0,0,0,,3,2,2,2,1,"Chatgpt hat mir geholfen schneller auf Fragen Antworten zu bekommen. Beispielsweise, wie man richtig auf eine Liste zugreift. So hat es mir Zeit, nicht viel Schreibarbeit und  Nerven geschenkt.","Chatgpt versteht zum größten Teil nicht die Aufgabenstellung, stellt man eine einfache Frage, kann es die direkt beantworten. Aber geht es darum, mir korrekt zu sagen, wo ein Fehler in meinem Code liegt ist es zum scheitern verurteilt. Zudem ist es nicht dazu gemacht, Chatgpt für eine Abgabe abzufragen. Wer die Abgaben zu 100% nur mit Chatgpt macht, lernt nichts von Programmieren und bekommt zu 10% die Punkte der Abgaben.","Die Abgabe war viel schwieriger mit Chatgpt zu machen, als ohne. Da Chatgpt nicht ein vollkommenes Verständnis hat für solche Aufgaben. Da ist es mir lieber, ohne Chatgpt zu arbeiten als mit. "
68,2 : Limited (<1 Year),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,0,0,1,0,0,0,0,,3,3,3,3,2,,,
69,2 : Limited (<1 Year),2 : No,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,0,0,1,0,0,1,0,0,,3,2,2,2,2,"die Schnelligkeit , wie der Code , der in der Aufgabe 7 gesucht wurde, erstellt wurde",das er voller Fehler war und daher eher verwirrend als hilfreich.,
70,2 : Limited (<1 Year),1 : Yes,5 : Rarely,1 : Less than 15 minutes,1 : Web Interface,1,1,1,0,0,0,1,0,,4,2,2,1,1,1. Einfache Bedienung  2. Schnelle Berechnungen/ Antworten  3. Übersichtliches Design,"1. Häufig fehlerhafte Antworten.  2. Wenn die Antworten fehlerhaft sind, werden sie beschrieben, als würde der alte Fehler korrigiert sein, was er aber nicht ist.  3. Nachdem man einen neuen Input gegeben hat, muss man immer selbstständig runterscrollen. Das ist nervig.","Es ist besser, den Code selbst zu schreiben. Man lernt die Programmierung damit um Welten schneller. Und wenn man mal nicht weiter kommt, wächst man daran, selbstständig das Problem zu bewältigen. Zudem sind die Angaben von ChatGPT bezüglich Python-Code meiner Erfahrung nach häufig fehlerhaft. Und dieser Fehler sind schwerer zu korrigieren, wenn der Code von ChatGPT stammt, da man den Code erstmal vollständig verstehen muss."
71,1 : None,1 : Yes,3 : Weekly,3 : 30-60 minutes,1 : Web Interface,1,1,1,0,0,1,0,0,,5,3,3,2,3,"Eignet sich sehr gut als Lernpartner  Schnelle und ""meistens"" richtige antworten  spart sehr viel Zeit","Nicht immer sind Antworten richtig. Man sollte sich nicht zu sehr auf ChatGPT verlassen  Wenn man ChatGPT auffordert das Problem erneut zu lösen, gelingt dieses nicht immer.  Die Problemstellung ChatGPT richtig zu erläutern. Meistens scheitert Die AI daran, dass man ihr nicht genug Daten gibt. Man muss sehr präzise formulieren.",-
72,2 : Limited (<1 Year),1 : Yes,5 : Rarely,3 : 30-60 minutes,1 : Web Interface,0,0,1,0,0,0,0,0,,4,4,3,4,4,1. Die genaue Beschreibung nach einer Frage  2. Die Möglichkeit der Code-Eingabe   3. Die schnelle Antwort,1. gibt häufig eine falsche Antwort zurück   2. Manchmal sind die Antworten zu genau erklärt (es werden unnötige Informationen hinzugefügt)  3. Es gibt anscheinend Unterschiede bei Verwendung unterschiedlicher Sprachen ,
73,1 : None,1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,1,0,0,0,0,1,0,Korrektur meines codes ,5,3,2,3,3,Es kann mir in unterschiedlichen Sprachen erklären.  In der Theorie teil einer Aufgabe funktioniert es meistens gut .  bei meinem eigene Fehlern gibt es mir gute hinweise und Empfehlungen .,"Beim hinweisen von Fehlern wird oft nicht korrigiert. Die Fehlern werden wiederholt.  sobald eine frage etwas länger aufgebaut ist oder komplizierter gestellt ist, scheitert es .   es gibt kein Keyboard und bild Funktion, bei manchen Mathe fragen fällt schon schwer die fragen richtig zu stellen.   ","meine Erfahrungen waren bis jetzt, es weiß von allen Themen etwas und kann bei einfachen Aufgaben hilfreich sein, besonders in Schulniveau, aber bei mir persönlich hat es den Eindruck gemacht, seine Informationen seien nicht genug und hat auf meisten Quellen auch keine Zugriffe ."
74,3 : Moderate (1-2 Years),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,1,1,0,0,0,1,1,,5,3,2,4,5,,,
75,3 : Moderate (1-2 Years),1 : Yes,3 : Weekly,1 : Less than 15 minutes,1 : Web Interface,0,1,1,1,0,0,0,0,,3,3,3,4,3,"-debugging  -Code Verständis  -anderer Blickwinkel auf die Aufgabe (anderer Code als meiner, aber beide sind richtig)","-wenn er was falsch hat, ist es manchmal schwer ihn von seinem Weg abzubringen. Dies macht das debugging etwas schwierig  -bei mathematischen Beweisen ist er nicht so nützlich, dass bekommt er nicht so gut hin  -fängt man zu früh mit chatgpt an, kann man in Gefahr laufen sich zu sehr auf ihn zu verlassen",
76,2 : Limited (<1 Year),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,1,0,0,0,1,0,0,,3,3,2,2,2,"Es ist nützlich, wenn es zum Verständnis von Problemen verwendet wird.","Aber manchmal gibt es viele falsche Antworten, besonders wenn die Frage nicht klar ist","Ich bin sehr daran interessiert, wie es funktioniert.  Ich bin mir sicher, dass es in Zukunft noch besser wird und überall zum Einsatz kommen wird"
77,2 : Limited (<1 Year),1 : Yes,3 : Weekly,4 : More than 60 minutes,2 : API Integration (e.g. IDE Plugins like CodeGPT),1,1,1,0,0,0,0,1,,3,4,1,3,3,,- Er löst die Aufgaben zur disMOD und LinADI falsch und kann nicht rekursiv programmieren  - Er gibt gibt falsche Antworten mit überzeugende Erklärungen die täuschend sein können  - ChatGPT zu überzeugen dass die Lösung falsch ist (dickköpfig) und möchte immer bei der falschen Lösung bleiben. Es ist dann kaotisch wenn mann es ihn erklärt und die Lösung noch schlimmer ausfällt,
78,4 : Advanced (3+ Years),1 : Yes,1 : Never,1 : Less than 15 minutes,1 : Web Interface,0,0,1,0,0,0,1,1,,5,2,3,4,2,- schnelle Antwort  - sogar oft sehr gute Antworten  - veringert die benötigte Zeit für die Aufgabe,- ChatGPT kam auf andere Ergebnisse als ich  - Nicht nachvollziehbar wie ChatGPT auf seine Antwort kommt  - Rückgabetext teilweise schwierig zu verstehen  ,
79,2 : Limited (<1 Year),1 : Yes,3 : Weekly,1 : Less than 15 minutes,1 : Web Interface,1,1,1,1,0,1,0,0,,5,4,2,4,5,- schnelle Antworten    - einfache Handhabung  - versteht auch komplexere Fragestellungen,"- oft alternativlos der Lösungsansatz, ChatGPT kann keine anderen Lösungen finden   - ist nicht immer zuverlässig was die Richtigkeit der Antworten angeht  - gelegentlich überlastet und demnach leider unbrauchbar ","der Login ist nervig mit erst Email und dann Passwort, statt einfach beides auf einmal eingeben zu können. "
80,3 : Moderate (1-2 Years),1 : Yes,2 : Daily,4 : More than 60 minutes,1 : Web Interface,0,0,1,1,0,1,0,1,,4,3,3,2,2,"- gut um Syntax fehler zu findne  - Es fordert das Verständnis, wenn man sich mit ChatGPT ""austauschen"" kann  - liefert zumindest einen Ansatz, wenn man gar keine Ahnung hat wo man anfangen soll  - Wenn man genau sagt was man will also was der Input ist, was mit diesem Input gemacht werden soll und was der Output ist, erhält man in der Regel gute Ergebnisse  - Manchmal werden mehrere Ansätze angezeigt was manchmal sehr hilfreich ist. ","- ChatGPT argumentiert immer so, dass es glaubhaft klingt obwohl die Lösung falsch ist. Es sagt nicht wie sicher es sich bei der Antwort ist.  - Das Textverständniss bei komplizierten Aufgaben ist nicht sehr gut. Man muss oft das Problem selber verstehen und es in kleinere Fragen runterbrechen um wirklich verwertbare antworten zu finden  - ChatGPT lässt sich sehr leicht von dem Fragenden beeinflussen. Wenn man ChatGPT sagt, es hat einen Fehler gemacht, korriergt sich ChatGPT. Jedoch korriegiert sich ChatGPT auch falsch.   - Man muss ChatGPt immer mitgeben auf was es achten soll, um wirklich genau die Antwort zu bekommen die man erwartet, was gefährlich für Anfänger sein kann, da sie nicht unbedingt wissen auf was man achten soll",
81,1 : None,1 : Yes,3 : Weekly,3 : 30-60 minutes,1 : Web Interface,1,1,1,1,1,0,0,0,,3,4,2,3,4,"Sehr gut, wenn man erstmal keine Ansätze hat und einen Schubser braucht.    Sehr gut, wenn man Ansätze hat, diese aber nicht in einer Programmiersprache umsetzen kann.    Gut bei Verständnisfragen.","Oft werden völlig falsche ansätze gegeben.    Es kommt durchaus häufig vor, dass ChatGPT Aufgabenstellung (völlig/teilweise) missversteht.    der Gedanke, dass mithilfe von ChatGPT das Programmieren sehr schnell geht ist falsch. Ich als Anfänger muss trotz ChatGPT stundenlang am PC sitzen und versuchen weiterzukommen und zu debuggen.","Hilfreich, doch nicht zuverlässig. Darf man nur mit Vorsicht geniessen"
82,2 : Limited (<1 Year),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,0,0,1,1,1,0,0,0,,5,4,3,4,5,"Sehr hilfreich beim debugging, vor allem wenn man noch eher unerfahren ist, da man Ansätze bekommen kann, wie der code zu fixen ist","Manchmal scheint chatgpt das problem einfach zu ignorieren  Die textgenerierung bedeutet, dass manchmal selbst simpelste Rechnungen bei chatgpt zu falschen Ergebnissen führen  Man muss sehr darauf achten, was man vorher in dem chat gesagt hat oder für ein neues Thema einen neuen chat anfangen",-
83,2 : Limited (<1 Year),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,0,1,1,0,0,1,1,,5,4,2,2,1,Debugging und kleine Fehler finden klappt super.   Erklärungen zu Konzepten ist auch gut.   Lösungsansätze und Vorgehen zu einer gegebenen Aufgabenstellung wird auch gut generiert. ,"Der Code an sich ist oft falsch oder macht einfach nicht das was er soll.   ""Argumentieren"" oder ""Erklären"" was genau falsch ist und was anders gemacht werden soll führt immer in eine Endlosschleife aus ""Sorry for the inconvience..."" Here's the new Code: Und es ist genau der selbe wie davor.   Generelle Endlosschleifen aus ""Fehlerkorrektur"" die genau gleich wie vorher sind. ",
84,1 : None,1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,1,1,1,0,0,1,1,Nein,4,2,3,3,4,"1. sehr Schnell( Zeitsparend)  2. Korrekturfreudig, wenn man ihm das schreibt  3. Kann auf früher Ereignisse im Chat eingehen","1. Nicht immer zuverlässig  und gibt Sachen nach mehrmaligem hinweisen falsch an  2. Die Server sind manchmal ausgelastet  3. ChatGPT 3.5 kann leider keine Bilder einsehen und sehr schlecht komplexere Graphen abbilden, bzw. generell alle Graphen  4. Komplexere Bereiche, wie in der Mathematik fallen ihm noch sehr schwer und es ist schwer komplexere Terme wie die bernoulli-formel im Chat einzugeben",Nein
85,2 : Limited (<1 Year),1 : Yes,2 : Daily,3 : 30-60 minutes,3 : Messaging App Integration (e.g. Chat Bots like MyAI),1,1,1,1,0,0,0,0,"Manchmal auch zum Verständnis, was genau in der Aufgabe gefragt bzw. gesucht ist.",4,5,3,4,5,1. ChatGPT ist sehr einfach zu bedienen und gibt vor allem auch besonders verständliche Antworten.  2. Auf Nachfrage kann eine Antwort genauer oder verändert ausgegeben werden.  3. Das Programm lernt im Verlauf des Gesprächs und kann immer schneller reagieren. Somit muss der Sachverhalt nicht bei jeder Frage neu erklärt werden.,"1. ChatGPT gibt auch einmal falsche Antworten aus, die von jemandem mit wenig Ahnung nicht unbedingt erkannt werden können.  2. Manchmal ist das Programm so ""verwirrt"", dass es besser ist einen neuen Chat zu starten, und das Problem noch einmal neu zu erklären.  3. Schon korrigierte Fehler können sich im Verlauf des Gesprächs wieder einschleichen und die Problemanalyse bewegt sich um Kreis.",-
86,2 : Limited (<1 Year),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,1,0,1,0,0,0,0,"Lernpartner (ich lasse ChatGPT Fragen stellen, beantworte sie und lasse mich dann korrigieren)",5,3,2,3,2,"Als Unterstützung, um Konzepte zu verstehen  Um Fehler zu finden  Um Inspiration für Problemlösungen zu finden",Man lernt weniger wenn man ChatGPT nutzt (zumindest wenn man verleitet wird es sich einfach zu machen)  Es ist ungenau   und man kann sich darauf nicht verlassen  ,"Es ist wichtig ChatGPT als Unterstützung zu nutzen, damit man noch mehr lernt, sozusagen als Lern-Partner. Man darf nicht verleitet werden es sich einfach zu machen."
87,1 : None,1 : Yes,3 : Weekly,1 : Less than 15 minutes,1 : Web Interface,0,0,0,1,0,1,1,0,,2,1,2,2,1,Dokumentation  DocStrings,Laufzeitanalyse  Codestücke,
88,1 : None,1 : Yes,5 : Rarely,1 : Less than 15 minutes,1 : Web Interface,1,1,0,0,0,0,0,0,,5,3,4,4,5,- Auf individuelle Fragestellungen zugeschnittene Antworten.  - Generierung von Code aus Alltagssprache  - Handling (z.B. Möglichkeit auf ältere Elemente im Chatverlauf zu referenzieren),"- Bei falschem Input können Frage-Antwort-Schleifen entstehen, die nicht zielführend sind  - Keine Sicherheit (bzw. wissenschaftliche Absicherung) der Richtigkeit von Antworten",
89,2 : Limited (<1 Year),1 : Yes,2 : Daily,2 : 15-30 minutes,1 : Web Interface,1,1,0,1,0,0,0,0,"Übersetzung, Lernen ",3,4,2,4,4,"-Es hilft Aufgaben zu verstehen, an denen man alleine arbeitet. Bzw. alternative Antwortmöglichkeiten zu finden.  - Man kann, gerade beim Programmieren schnell Funktionen aus Libraries, die man nicht gut kennt, finden  - Man kann schneller spezifische Informationen finden,als beim Googlen.","-Gerade zu Beginn, gab es immer technische Probleme, die dazu zwangen den aktuellen Chat mit GPT zu verlassen  -Die Texte klingen meist sehr gut formuliert (also syntaktisch korrekt), aber über die semantische Korrektheit gibt es manchmal Zweifel, bzw. es ist unklar wo Informationen herkommen.  -Gerade bei längeren Antworten, das dauernde Nachfragen, nach der Fortsetzung der Antwort, weil der Chatbot die Antworten einfach abschneidet. ",Erster Schritt von AGI
90,2 : Limited (<1 Year),1 : Yes,3 : Weekly,3 : 30-60 minutes,1 : Web Interface,1,1,0,0,0,1,0,0,,4,4,3,3,4,"Beispiele zum Verständnis, nach Anfrage Schritt für Schritt Erklärung und der Text muss nicht fehlerfrei geschrieben sein, damit ChatGPT einen versteht","Einige falsche Anworten, man wird des Öftern nicht richtig verstanden und manchmal hängt die Generigung der Antwort",
91,3 : Moderate (1-2 Years),1 : Yes,2 : Daily,4 : More than 60 minutes,1 : Web Interface,1,1,1,1,1,1,0,0,,3,3,2,3,3,It helps to understand the context better.  It saves time.  It gives precise answers,The user doesnt search for answers on his own or try to solve it on his own.  The students can easily copy the answers which is wrong   It was difficult for me to avoid using chatgpt for assignments that could otherwise be done on my own.,Sometimes it is extremely inaccurate and it takes more time than solving it on my own to find the correct answer.
92,2 : Limited (<1 Year),1 : Yes,4 : Montly,2 : 15-30 minutes,1 : Web Interface,1,1,1,0,0,1,0,1,,5,4,4,5,5,"ChatGPT kann auch ohne aufwändiges Prompt-Erstellen direkt aus der Aufgabenstellung einen recht sinnvollen Code erzeugen, der danach als Basis für eigene Überlegungen dienen kann.   ChatGPT kann Code manchmal debuggen oder hat zumindest oft Ansätze parat, auf die man selbst nicht gekommen wäre.   ChatGPT kann bei der Suche nach Funktionen oder der Suche nach der genauen Syntax für eine spezielle Funktion oft schneller helfen, als sich selbst durch Foren oder Manuals zu kämpfen.","ChatGPT baut oft und gerne Bugs in seinen Code.  ChatGPT hält sich nicht immer an PEP8.  Sinnvolle Prompts zu schreiben, wenn man nach etwas speziellem sucht, ist oft sehr mühselig.",
93,2 : Limited (<1 Year),1 : Yes,4 : Montly,2 : 15-30 minutes,1 : Web Interface,1,0,0,0,0,0,0,0,"i just sometimes use the Chat-Bing. but dont ever use the chatgpt, because the answers usually are not that usefull and/or right",2,1,1,1,2,it helps to sometimes summerize a long text into the parts that i need. or make the languages better translated to another languages specially if the concept has specific subject relevant definitions. its also good to learn important stuff in a shorter amount of time. and even find resources for something,"i used it to learn for a certification. i found it nice that instead of spending days of learning and reading just the fundementals, with the way that i could learn better. but sometimes it gave wrong answers","It is a nice tool to use as stuck with a problem. or need to find a problem. but still isnt trustworthy enough to just take anything it gives out. i find the bing chat much more trustworthy and the answers more web oriented, therefore with the resources"
94,2 : Limited (<1 Year),1 : Yes,4 : Montly,2 : 15-30 minutes,2 : API Integration (e.g. IDE Plugins like CodeGPT),1,0,0,1,0,0,0,1,none,3,2,3,3,4,"comfortable, free and fast","not always right, has troubles in understanding questions, too long sometimes ",no
