id,code,task,problem
41,"def differences(values):
    '''This rekursive function receives a list with an unlimited amount of numbers.
The second number is always subtracted from the first number.
The results are being output in the terminal in a list.'''
    if len(values) == 1:
        return []
#if there is just one number in the function there is no other number to subtract
#it from so the number itself will be output in a list
    else:
        return [values[0] - values[1]] + differences(values[1:])
#otherwise the first number of the list is subtracted from the second one, which  
#which continues for every number in the given list


#Testfaelle
print(differences([5,7,4]))
print(differences([0,4,1,7,2]))
print([4])

if __name__ == '__main__':
    differences
",8,0. differences have wrong sign.
42,"#Aufgabe 2a
def differences(values):
    """"""
    calculates the differences between contained elements in a list of values,
    if the Value is higher then 1 and not 1,
    so they will return the result.
    :param values: Is the list that the user will give in
    :return: we will return once the list wirh nothing in it or the
    list with the result and the input of the user.
    """"""
    result = []
    if len(values) <= 1:  # check if the number is not 1 or lower than one
        return result
    result = values[1] - values[0]
    return [result]


#Aufgabe 2b
def palindrome(word):
    """"""
    The program examines the character in the middle of 
    each word and compares it to the corresponding character at
    the other end of the word, at first we for in 
    range i of the string, then we create a new variable. On this
    Variable we will integer division i with 2, 
    after that we check if the variable is unequal the word with the
    lenght of the string. If that is unequal, 
    so we return false, if it's not unequal we return True.
    :param word: is the string that the user will give in
    :return: we return false if unequal, 
    and we will return True if it's not unequal
    """"""
    for i in range(len(word)):  # go in range i of the lenhgt of the string
        y = i // 2
        if word[y] != word[len(word) - y - 1]:
            return False  # False is returned if another pair is found
    return True  # If the word is successfully 
                 # tried without an odd pair, True is returned.



if __name__ == '__main__':
    print(differences([3, 6, 2, 1]))
    print(differences([2, 3, 4, 5]))
    print(differences([3, 1, 23, 4]))
    print(palindrome('anna'))
    print(palindrome('level'))
    print(palindrome('servus'))",8,0. differences returns only one value (list concat missing).
43,"#Aufgaabe2a)
""""""
'iteration into Recursion'
This function is iteration because of for!


def differences(values):
 result = []
 for i in range(len(values) - 1):
 result.append(values [i+1] - values[i])
 return result
""""""

def differences_d(values):
    if len(values) < 2:
        return []
    else:
        return [ values[1] - values[0]] + differences_d(values[:1]) 


###Aufgabe2b)
""""""
'Recursion into Iteration'
This function is Recursion because of if!
def palindrome(word):
    if len(word) <=1:
       return True
    if word[0] != word[-1]:
       return False
    return palindrome(word[1:-1])


""""""

if __name__ =='__main__':

    print(differences_d([8, 9, 10]))
    print(differences_d([5, 10, 15]))
    print(differences_d([2, 10]))",8,"0. differences_d recursive call is wrong. Called with only first element instead of rest list.
1. palindrome missing."
44,"def palindrome(word):
    """"""
    This Funtion takes in a word as a parameter
    and checks if it reads the same backward or forward.
    """"""
    for elem in range(len(word)):
        if word[elem] == word[-(elem+1)]:
            return True
        else:
            return False


if __name__ == '__main__':
    a = palindrome(""hallo"")
    print(a)
    # Output: False
    b = palindrome(""ABBA"")
    print(b)
    # Output: True
    c = palindrome(""ABBBA"")
    print(c)
    # Output: True",8,"0. difference is missing.
1. palindrome only checks outer characters."
45,"import random

def createMatrix(list, n):
    """"""Create a matrix n with random numbers.""""""
    for i in range(n):
        a =[]
        for j in range(n):
            a.append(random.randint(0,9))
        list.append(a)
    return list


def minCostCalc(list):
    """"""Shortest path is calculated.""""""
    # M * N matrix.
    (M, N) = (len(list) , len(list[0]))
    # T[i][j] maintains the minimum cost to reach cell (i, j) from cell (0, 0).
    T = [[0 for x in range(N)] for y in range(M)]
    # Fill the matrix in a bottom-up manner.

    for i in range(M):
        for j in range(N):

            T[i][j] = list[i][j]
            # Fill the first row ##there is only one way to reach any cell in the
            # First row from its adjacent left cell##.

            if i == 0 and j > 0:
                T[0][j] += T[0][j - 1]
                # Fill the first column ##there is only one way to reach any cell in
                # the first column from its adjacent top cell##.
                
            elif j == 0 and i > 0:
                T[i][0] += T[i - 1][0]
                # fill the rest with the matrix ##there are two ways to reach any
                # cell in the rest of the matrix, from its adjacent
                # left cell or adjacent top cell##.
                
                
            elif i > 0 and j > 0:
                T[i][j] += min(T[i - 1][j] , T[i][j - 1])
                

                  
    
    # last cell of `T[][]` stores the minimum cost to reach destination cell
    # (M-1, N-1) from source cell (0, 0).
    return T[M - 1][N - 1]
              



if __name__ == ""__main__"":
    
    randomList = []
    print('Testfall 1:')
    print(createMatrix(randomList , 2 ))
    print('The path with the lowest cost:',
            minCostCalc(randomList))
    
    #
    randomList = []
    print('Testfall 2:')
    print(createMatrix(randomList , 3 ))
    print('The path with the lowest cost:', 
            minCostCalc(randomList))
    #
    randomList = []
    print('Testfall 3:')
    print(createMatrix(randomList , 5 ))
    print('The path with the lowest cost:',
             minCostCalc(randomList))",9,"0. CamelCase naming.
1.list used as variable name."
46,"'''Finds the best way through a matrix.'''

import random
import copy

def create_matrix(n):
    '''Creates a matrix (n x n).'''
    
    matrix = []
    i = 0
    j = 0
    while i < n:
        matrix.append([])
        while j < n:
            matrix[i].append(random.randint(0,9))
            j = j + 1
        i = i + 1
        j = 0
    return matrix

def print_matrix(matrix):
    '''Gives out the given matrix.'''
    
    for i in range(len(matrix)):
        print(matrix[i])


def pathfinder(matrix, path, pathlist, pos=(0, 0)):
    '''Finds the optimal path through the given matrix.'''
    
    n = len(matrix) - 1
    matrix_copy = copy.deepcopy(matrix)

    # Terminate if endposition is reached
    if pos == (n, n):
        path.append(pos)
        pathlist.append(path)
        return pathlist
    else:
        # pos --> (down, right)
        # condition for going right
        if pos[1] + 1 <= n and matrix_copy[pos[0]][pos[1] + 1] != 'XX':
            matrix_copy[pos[0]][pos[1]] = 'XX'
            path.append(pos)
            path = copy.deepcopy(path)
            pathlist = pathfinder(matrix_copy, path, pathlist, (pos[0], pos[1] + 1))
        # condition for going left
        if pos[1] - 1 >= 0 and matrix_copy[pos[0]][pos[1] - 1] != 'XX':
            matrix_copy[pos[0]][pos[1]] = 'XX'
            path.append(pos)
            path = copy.deepcopy(path)
            pathlist = pathfinder(matrix_copy, path, pathlist, (pos[0], pos[1] - 1))

        # condition for going down
        if pos[0] + 1 <= n and matrix_copy[pos[0] + 1][pos[1]] != 'XX':
            matrix_copy[pos[0]][pos[1]] = 'XX'
            path.append(pos)
            path = copy.deepcopy(path)
            pathlist = pathfinder(matrix_copy, path, pathlist, (pos[0] + 1, pos[1]))

        # condition for going up
        if pos[0] - 1 >= 0 and matrix_copy[pos[0] - 1][pos[1]] != 'XX':
            matrix_copy[pos[0]][pos[1]] = 'XX'
            path.append(pos)
            path = copy.deepcopy(path)
            pathlist = pathfinder(matrix_copy, path, pathlist, (pos[0] - 1, pos[1]))

    return pathlist


    # TODO liste mit kosten und weg

matrix = create_matrix(3)
print_matrix(matrix)
print(pathfinder(matrix, [], []))",9,0. Return of optimal path including costs missing.
47,"#�bungsblatt �E-06
#implementation of minimum cost path
import sys

# cell (m, n) from cell (0, 0)
def MinCost(cost, m=5, n=5):
    # initialize m and n
    if not m and not n:
        m, n = len(cost), len(cost[0])
    # base case
    if not cost or not len(cost):
        return 0
    # base case
    if n == 0 or m == 0:
        return sys.maxsize
    # if we are in the first cell (0, 0)
    if m == 1 and n == 1:
        return cost[0][0]
    # include the current cell's cost in the path and recur to find the minimum
    # of the path from the adjacent left cell and adjacent top cell.
    return min(MinCost(cost, m - 1, n), MinCost(cost, m, n - 1))\
        + cost[m - 1][n - 1]

if __name__ == '__main__':
    cost = [                #choose matrix here m and n = 5 here
        [0, 5, 8, 0, 8],
        [9, 2, 8, 3, 1],
        [7, 3, 1, 7, 6],
        [2, 1, 4, 6, 6],
        [9, 3, 5, 8, 2]
    ]
    print('Der billigste Weg kostet', MinCost(cost),'�')",9,"0. Path only considers down and right (instead of horizontal/vertical).
1. Returns only costs, no path."
48,"#�bungsblatt �E-06
#Aufgabe 3)

import random
#implement matrix
def matrix(n):
    for i in range(n):      #set dimension
        n = [random.randint(0,9), #5x5, choose row and column
            random.randint(0,9),
            random.randint(0,9),
            random.randint(0,9),
            random.randint(0,9)]
        print(n)

if __name__ == ""__main__"":
    matrix(5)",9,"0. No pathfinder.
1. Matrix is only printed, not returned."
49,"#3b)
def find_optimal_path(matrix: list[list[int]]) -> tuple[int, list[tuple[int, int]]]:
    # Entgegennahme der Dimension der Matrix
    n = len(matrix)
    m = len(matrix[0])

    if n == 1 and m == 1:
        return matrix[0][0], [(0, 0)]


    # Setzen des optimalen Weg und der Kosten auf unendlich
    optimal_path = []
    optimal_cost = float(""inf"")


    for i in range(n):
        for j in range(m):

            if i > 0 or j > 0:
                # Berechne die Kosten und den Weg f�r die Submatrix ab beim aktuellen Element
                sub_cost, sub_path = find_optimal_path([row[j:] for row in matrix[i:]])

                # Hinzuf�gen des aktuellen Elements zum Pfad und Aktualisierung der Kosten
                # um die Kosten des aktuellen Elements zu ber�cksichtigen
                path = [(i, j)] + sub_path
                cost = matrix[i][j] + sub_cost

                if cost < optimal_cost:
                    optimal_path = path
                    optimal_cost = cost

    return optimal_cost, optimal_path

if __name__ == '__main__':
    matrix = [    [1, 2, 3],
        [4, 5, 6],
        [7, 8, 9]
    ]
    optimal_cost, optimal_path = find_optimal_path(matrix)
    print(optimal_cost)
    print(optimal_path)
    print(""-----------------"")  # lediglich f�r �bersicht

if __name__ == '__main__':
    matrix = [    [2, 7, 8],
        [4, 6, 9],
        [1, 3, 5]
    ]
    optimal_cost, optimal_path = find_optimal_path(matrix)
    print(optimal_cost)
    print(optimal_path)
    print(""-----------------"")  # lediglich f�r �bersicht

if __name__ == '__main__':
    matrix = [    [7, 6, 2],
        [1, 4, 3],
        [9, 2, 8]
    ]
    optimal_cost, optimal_path = find_optimal_path(matrix)
    print(optimal_cost)
    print(optimal_path)",9,"0. Returned path only contains end and start.
1. Returned costs is just 2 times last cell cost."
50,"import re

# Dateinamen festlegen

# Text aus der Datei einlesen
with open(""PythonEntwicklungG.txt"", ""r"") as f:
    text = f.read()

sought_1 = re.findall(r'<[^>]*>', text)
sought_2 = re.findall(r""20[0-9][0-9]"", text)
sought_3 = re.findall(r""19[0-9][0-9]"", text)

for i in range(len(sought_1)):
    print(sought_1[i], end = "" "")

for i in range(len(sought_2)):
    print(sought_2[i])

for i in range(len(sought_3)):
    print(sought_3[i])",10,0. Years starting with 19/20 are two regex searches (should be one).
51,"# EPR Uebungsblatt 7 - Pairprogramming

import re

# Aufgabe 1

# a.)
""""""In this task, all expressions from the text (copied from the Moodle 
course), that start with a '<' and end with a '>' should be printed. The 
characters themselves should also be printed. Herefore we'll import the 
module 're' and firstly define the text as a variable called 
'PythonEntwicklungG'. After that we use the built-in function of the module 
're' re.findall(). """"""

PythonEntwicklungG = """"""<h2><span class=""mw-headline"" 
id=""Entwicklungsgeschichte"">Entwicklungsgeschichte</span><span 
class=""mw-editsection""><span class=""mw-editsection-bracket"">[</span><a 
href=""/w/index.php?title=Python_(
Programmiersprache)&amp;veaction=edit&amp;section=1"" 
class=""mw-editsection-visualeditor"" title=""Abschnitt bearbeiten: 
Entwicklungsgeschichte"">Bearbeiten</a><span class=""mw-editsection-divider""> 
| </span><a href=""/w/index.php?title=Python_(
Programmiersprache)&amp;action=edit&amp;section=1"" title=""Abschnitt 
bearbeiten: Entwicklungsgeschichte"">Quelltext bearbeiten</a><span 
class=""mw-editsection-bracket"">]</span></span></h2> <div class=""thumb 
tright""><div class=""thumbinner"" style=""width:172px;""><a 
href=""/wiki/Datei:Guido_van_Rossum.jpg"" class=""image""><img alt="""" 
src=""//upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Guido_van_Rossum
.jpg/170px-Guido_van_Rossum.jpg"" decoding=""async"" width=""170"" height=""228"" 
class=""thumbimage"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/c
/c6/Guido_van_Rossum.jpg/255px-Guido_van_Rossum.jpg 1.5x, 
//upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Guido_van_Rossum.jpg
/340px-Guido_van_Rossum.jpg 2x"" data-file-width=""447"" data-file-height=""600"" 
/></a>  <div class=""thumbcaption""><div class=""magnify""><a 
href=""/wiki/Datei:Guido_van_Rossum.jpg"" class=""internal"" title=""vergr��ern 
und Informationen zum Bild anzeigen""></a></div><a 
href=""/wiki/Guido_van_Rossum"" title=""Guido van Rossum"">Guido van Rossum</a>, 
der Entwickler von Python</div></div></div> <p>Die Sprache wurde Anfang der 
1990er Jahre von <a href=""/wiki/Guido_van_Rossum"" title=""Guido van 
Rossum"">Guido van Rossum</a> am <a 
href=""/wiki/Centrum_Wiskunde_%26_Informatica"" title=""Centrum Wiskunde &amp; 
Informatica"">Centrum Wiskunde &amp; Informatica</a> in <a 
href=""/wiki/Amsterdam"" title=""Amsterdam"">Amsterdam</a> als Nachfolger f�r 
die Programmier-Lehrsprache <i><a href=""/wiki/ABC_(Programmiersprache)"" 
title=""ABC (Programmiersprache)"">ABC</a></i> entwickelt und war urspr�nglich 
f�r das verteilte <a href=""/wiki/Betriebssystem"" 
title=""Betriebssystem"">Betriebssystem</a> <a href=""/wiki/Amoeba_(
Betriebssystem)"" title=""Amoeba (Betriebssystem)"">Amoeba</a> gedacht. 
</p><p>Der Name geht nicht (wie das Logo vermuten lie�e) auf die 
gleichnamige Schlangengattung (<a href=""/wiki/Pythons"" 
title=""Pythons"">Pythons</a>) zur�ck, sondern bezog sich urspr�nglich auf die 
englische Komikertruppe <a href=""/wiki/Monty_Python"" title=""Monty 
Python"">Monty Python</a>. In der Dokumentation finden sich daher auch einige 
Anspielungen auf Sketche aus dem <a 
href=""/wiki/Monty_Python%E2%80%99s_Flying_Circus"" title=""Monty Python�s 
Flying Circus"">Flying Circus</a>.<sup id=""cite_ref-14"" class=""reference""><a 
href=""#cite_note-14"">&#91;14&#93;</a></sup> Trotzdem etablierte sich die <a 
href=""/wiki/Assoziation_(Psychologie)"" title=""Assoziation (
Psychologie)"">Assoziation</a> zur Schlange, was sich unter anderem in der 
Programmiersprache <a href=""/wiki/Cobra_(Programmiersprache)"" title=""Cobra (
Programmiersprache)"">Cobra</a><sup id=""cite_ref-15"" class=""reference""><a 
href=""#cite_note-15"">&#91;15&#93;</a></sup> sowie dem Python-Toolkit 
�Boa�<sup id=""cite_ref-16"" class=""reference""><a 
href=""#cite_note-16"">&#91;16&#93;</a></sup> �u�ert. Die erste Vollversion 
erschien im Januar 1994 unter der Bezeichnung Python 1,0. Gegen�ber fr�heren 
Versionen wurden einige Konzepte der funktionalen Programmierung 
implementiert, die allerdings sp�ter wieder aufgegeben wurden.<sup 
id=""cite_ref-17"" class=""reference""><a 
href=""#cite_note-17"">&#91;17&#93;</a></sup> Von 1995 bis 2000 erschienen 
neue Versionen, die fortlaufend als Python 1.1, 1.2 etc. bezeichnet wurden. 
</p><p>Python 2.0 erschien am 16.&#160;Oktober 2000. Neue Funktionen 
umfassten eine voll funktionsf�hige <a href=""/wiki/Garbage_Collection"" 
title=""Garbage Collection"">Garbage Collection</a> (automatische 
Speicherbereinigung) und die Unterst�tzung f�r den <a href=""/wiki/Unicode"" 
title=""Unicode"">Unicode</a>-Zeichensatz.<sup id=""cite_ref-18"" 
class=""reference""><a href=""#cite_note-18"">&#91;18&#93;</a></sup> In Version 
2.6 wurde eine Hilfe eingebaut, mit der angezeigt werden kann, welche 
Code-Sequenzen vom Nachfolger Python 3 nicht mehr unterst�tzt werden und 
daher in darauf aufbauenden Versionen nicht mehr lauff�hig sind.<sup 
id=""cite_ref-19"" class=""reference""><a 
href=""#cite_note-19"">&#91;19&#93;</a></sup> </p><p>Python 3.0 (auch Python 
3000) erschien am 3.&#160;Dezember 2008 nach l�ngerer Entwicklungszeit. Es 
beinhaltet einige tiefgreifende �nderungen an der Sprache, etwa das 
Entfernen von Redundanzen bei Befehlss�tzen und veralteten Konstrukten. Da 
Python 3.0 hierdurch teilweise inkompatibel zu fr�heren Versionen ist,
<sup id=""cite_ref-20"" class=""reference""><a 
href=""#cite_note-20"">&#91;20&#93;</a></sup> beschloss die <i>Python Software 
Foundation</i>, Python 2.7 parallel zu Python 3 bis Ende 2019 weiter mit 
neuen Versionen zu unterst�tzen (f�r Hinweise zu noch erscheinenden 
2er-Versionen, dem Supportende und Hilfe zur Migration siehe Abschnitt <i><a 
href=""#Ende_von_Python_2"">Ende von Python 2</a></i>). </p> """"""

matches = re.findall(r""<.*?>"", PythonEntwicklungG)
""""""We define the matches as 'matches' and print them out after using the 
function re.findall(). """"""

# print(matches)

if __name__ == '__main__':
    print(matches)

# b.)

""""""In this task, we are supposed to extract all years from 1900 - 2099, 
using the module 're'. Herefore we firstly define the matches (years 1900 - 
2099, which are included in the text) as the variable 'matchesyears'. To 
find the matching years, we use re.findall() again. """"""
matchesyears = re.findall(r""\b(19[0-9][0-9]|20[0-9][0-9])\b"",
                          PythonEntwicklungG)

""""""The regular expression r""\b(19[0-9][0-9]|20[0-9][0-9])\b"" uses \b to 
ensure, that the four-digit numbers it matches are not part of a larger 
word. The main part of the expression (19[0-9][0-9]|20[0-9][0-9]), uses two 
alternation groups (separated by |), to match four-digit numbers starting 
with ""19"" or ""20"". This regular expression could be used with the 
re.findall() function, to extract all four-digit numbers between 1900 and 
2099 from the given text (PythonEntwicklungG). """"""

# print(matchesyears)

if __name__ == '__main__':
    print(matchesyears)",10,0. <> interrupted by new lines are ignored.
52,"""""""This program searches for strings in a given text.

After finding the strings they will displayed in the console.
""""""

import re

# Opens the text for the purpose of being able to use regex on it
text = open(""PythonEntwicklungG.txt"", ""r"", encoding=""utf-8"").readlines()
text_all = open(""PythonEntwicklungG.txt"", ""r"", encoding=""utf-8"").read()

#Searches for all iterations of strings between < and >
#And then prints them, including themselves
search = '(\<(.*?)\>)'
x = re.findall(search, text_all)
print(x)

# Searches for all dates, but only years in the format of YYYY
search = '([1-9][0-9][0-9][0-9])'
x = re.findall(search, text_all)
print(x)",10,0. Year 3000 is wrongly returned.
53,"""""""This module is used to read the file 'PythonEntwicklungG.txxt' 
and to print out the special expressions in said file under
the conditions set in exercise task 1
""""""

import re

pattern_brackets = re.compile(r'<[\w\W\>]*>')  # definition of what we are looking for
pattern_number = re.compile(r'[12][09]\d\d')  # definition of what we are looking for

with open('PythonEntwicklungG.txt', 'r') as t:  # get access to file
    text = t.read()
    matches_brackets = pattern_brackets.finditer(text)  # use definition from above
    for i in matches_brackets:
        print(i)
    matches_number = pattern_number.finditer(text)  # use definition from above
    for j in matches_number:
        print(j)",10,"0. Returns match objects instead of strings.
1. Only one <> is found, due to missing lazy operator."
54,"""""""Aufgabe 1""""""

import re

datei = open('PythonEntwicklungG.txt', 'r')
string = datei.read()

print(re.findall([0 - 9][1900 - 2099], string))

print(re.findall(""<.*?>"", string))",10,0. IndexError: Search for years is not a string.
55,"import random

def create_cards():
    """"""
    This function creates a list of dictionaries, where each dictionary represents a playing card.
    The keys in the dictionary are ""color"" and ""card"", representing the card's suit and value, respectively.
    The function generates all 52 cards in a standard deck.
    :return:

    """"""

    # list of card suits
    list_color = [""Karo"", ""Herz"", ""Pik"", ""Kreuz"" ]

    # list of card values
    list_cards = [""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""Bube"", ""Dame"", ""K�nig"", ""Ass""]

    # list to store the dictionaries representing each card
    dic_cards = []

    # iterate through each suit and value to create a card dictionary
    for i in list_color:
        for j in list_cards:

            # create a card dictionary and append it to the list
            dic_cards.append({""color"": i, ""card"": j})

    # return the list of card dictionaries
    return dic_cards


def deal_cards(cards, player_num, round_num):
    """"""
    This function deals cards to a specified number of players for a specified number of rounds.
    It takes a list of cards (`cards`), the number of players (`player_num`),
    and the number of rounds (`round_num`) as input.
    It returns a tuple of lists, where each list represents the cards held by a player.

    """"""

    # list to store the cards held by each player
    hands = []

    # create an empty list for each player to hold their cards
    for i in range(player_num):
        hands.append([])

    # deal cards to each player for the specified number of rounds
    for i in range(round_num):
        for j in range(player_num):

            # choose a random card from the remaining cards
            chosen_card = random.choice(cards)

            # add the chosen card to the player's hand
            hands[j].append(chosen_card)

            # remove the chosen card from the remaining cards
            cards.remove(chosen_card)

    # return the tuple of lists representing each player's hand
    return tuple(hands)


def compare_cards(trump_card, *cards):
    """"""
    This function compares a set of
    cards based on their suit and value.
    It takes a trump card (`trump_card`)
    and an arbitrary number of cards to compare (`*cards`) as input.
    The function returns a list of indices,
    where the index represents the relative strength of the card.
    The trump card has the highest strength,
    followed by the other cards in the order
    of the suits listed in `list_color`.
    Within each suit, the cards are ranked
    in the order listed in `list_cards`.
    """"""

    # list of card suits
    list_color = [""Karo"", ""Herz"", ""Pik"", ""Kreuz""]

    # list of card values
    list_cards = [""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""Bube"", ""Dame"", ""K�nig"", ""Ass""]

    # list to store the dictionaries representing each card
    dic_cards = []

    # move the trump suit to the end of the list
    list_color.remove(trump_card)
    list_color.append(trump_card)

    # create the dictionaries for each card
    for i in list_color:
        for j in list_cards:
            dic_cards.append({""color"": i, ""card"": j})

    # list to store the indices of the cards
    index_list = []

    # find the index of each card in the list of dictionaries
    for card in cards:
        index = dic_cards.index(card)

        # add the index to the list
        index_list.append(index)
        
    # return the list of indices
    return index_list


print(""Willkommen im Spiel"")
print(""Das sind die Spielregeln:"")
print("" - "" * 50)
print(""Es wird mit 52 Karten (13 * 4 Farben) gespielt (Kartendeck). \n""
      ""Das Spiel kann mit 2-5 Spieler gespielt werden . \n""
      ""Es wird ein Startspieler und eine Reihenfolge festgelegt.\n""
	  ""Sie k�nnen entscheiden ob ein Computer mitmacht. Wenn er mitmacht, ""
	  ""wird sich die Spieleranzahl sich ver�ndern auf 1-4 Spielern.\n"")
print("" - "" * 50)


while True:
	try:
		rules = int(input(""M�chten sie die Genaueren Regeln lesen? F�r Ja geben [1], f�r Nein geben sie [0] ein: ""))
		if rules == 0:
			break
		if rules == 1:
			print(""Eine Runde verl�uft folgenderma�en:\n""
				  ""Jedem Spielenden werden Karten ausgeteilt (die Anzahl der Karten soll der Rundennummer\n ""
				  ""entsprechen). In der ersten Runde erh�lt jede*r eine Karte, in der zweiten Runde erh�lt jede*r\n ""
				  ""zwei Karten und so weiter.\n""
				  ""Die Trumpffarbe f�r die Runde wird ermittelt: Hierzu wird eine zuf�llige Wahl der Farbe vorgenommen.\n""
				  ""Es wird nun um Stiche gespielt. Die Anzahl der Stiche entspricht der Anzahl Karten auf der Hand. \n""
				  ""Um einen Stich wird folgenderma�en gespielt:\n""
				  ""\n""
				  ""Jede*r legt nacheinander eine Karte (beginnend bei dem*der Startspieler*in).\n""
				  ""Der*Die Spieler*in mit der h�chstwertigen Karte gewinnt den Stich.\n""
				  ""Nun ist der n�chste Spieler an der Reihe, um die erste Karte zu legen.\n""
				  ""Am Ende der Runde werden alle Karten zusammengetan und neu gemischt. In der n�chsten \n""
				  ""Runde startet der*die n�chste Spieler*in in der Reihenfolge als Startspieler."")
			print("" - "" * 50)
			break
		if type(rules) == int and not 1 or  not 0 :
			print(""Bitte geben sie [1] f�r Ja, [0] f�r Nein ein"")
			print("" - "" * 50)
		else:
			break
	except ValueError:
		print(""Bitte geben sie [1] f�r Ja, [0] f�r Nein ein"")
		print("" - "" * 50)


while True:
	try:
		computer_choice = int(input(""M�chten Sie, dass ein Computer mitspielt? [1] f�r Ja, [0] f�r Nein: ""))
		if computer_choice == 0:
			print(f""Ok Sie haben keinen Computer ausgew�hlt."")
			break
		if computer_choice == 1:
			print(f""Ok Sie haben einen Computer ausgew�hlt."")
			break
		if type(computer_choice) == int and not 1 or  not 0 :
			print(""Bitte geben sie [1] f�r Ja, [0] f�r Nein ein"")
			print("" - "" * 50)
		else:
			break
	except ValueError:
		print(""Bitte geben sie [1] f�r Ja, [0] f�r Nein ein"")
		print("" - "" * 50)


if computer_choice == 0:
	while True:
		try:
			player_num = int(input(""Wie viele Spieler sollen spielen?: ""))
			if player_num > 5 or player_num < 2:
				print(""Die Spieleranzahl liegt zwischen 2-5 Spieler"")
				continue
			else:
				break
		except ValueError:
			print(""Bitte geben Sie eine g�ltige Zahl ein."")


if computer_choice == 1:
	while True:
		try:
			player_num = int(input(""Wie viele Spieler sollen spielen?: ""))
			player_num += 1
			if player_num > 4 or player_num < 1:
				print(""Die Spieleranzahl liegt zwischen 1-4 Spieler"")
				continue
			else:
				break
		except ValueError:
			print(""Bitte geben Sie eine g�ltige Zahl ein."")


player_list = []
for num in range(1,player_num):
	player_list.append(f""Player{num}"")
if computer_choice == 1:
	player_list.append(""Computer"")
rounds = (52//int(len(player_list)))
print(player_list)
print(f""Es werden insgesamt {rounds} gespielt. "")
print("" - "" * 50)


while True:
	try:
		start_stop_game = int(input(""Wollen Sie jetzt das Spiel starten? F�r Start [1], f�r Stop [0] eingeben: ""))
		if start_stop_game == 0:
			exit(""Ok das Spiel wird geschlossen."")
		if start_stop_game == 1:
			print(f""Ok das Spiel startet jetzt."")
			print(""-"" * 50)
			break
		if type(start_stop_game) == int and not 1 or  not 0 :
			print(""Bitte geben sie [1] f�r Start, [0] f�r Stop ein"")
			print("" - "" * 50)
		else:
			break
	except ValueError:
		print(""Bitte geben sie [1] f�r Start, [0] f�r Stop ein"")
		print("" - "" * 50)


round_numbers = []
for number in range(rounds+1):
	round_numbers.append(number)
random.shuffle(player_list)
print(f""Die Spieler Reihenfolge lautet: {player_list}"")
print("" - "" * 50)



for i in range(player_num):
	print(f"" Deine Handkarten sind :{deal_cards(create_cards(),player_num,round_numbers[1])[i]}"")
	while True:
		try:
			selected_card = int(input(""Welche Karte m�chtest du setzten? (Die Karte die ganz links ist, w�re die 0. Eins weiter rechts die 1 und so weiter)""))
			if selected_card > round_numbers[i+1]:
				print(""Bitte geben Sie eine g�ltige Zahl ein:1 "")
				break
			if selected_card < round_numbers[i+rounds]:
				print(""Bitte geben Sie eine g�ltige Zahl ein:2 "")
				break
			if type(selected_card) == int and not selected_card < round_numbers[1] or not selected_card > round_numbers[rounds]:
				print(""Bitte geben Sie eine g�ltige Zahl ein:3 "")
				print("" - "" * 50)
			else:
				break
		except ValueError:
			print(""Bitte geben Sie eine g�ltige Zahl ein:4 "")
			print("" - "" * 50)",11,"0. Card selection not possible. selected_card < round_numbers[i+rounds] is always false. Next step jumps into next round, resulting in index error."
